iter	Logloss
0	0.5496793822
1	0.4496935648
2	0.3812803978
3	0.332430771
4	0.2997619581
5	0.2756183218
6	0.2541909695
7	0.2407415426
8	0.2306507738
9	0.2210940853
10	0.2141496785
11	0.2100524865
12	0.2047356504
13	0.2012954452
14	0.1982592639
15	0.1952774295
16	0.1926960281
17	0.1903336954
18	0.1884243017
19	0.1869154606
20	0.1856434357
21	0.1843228302
22	0.1833905886
23	0.1821130185
24	0.181059548
25	0.1799439801
26	0.1790518135
27	0.1781393999
28	0.1772675773
29	0.1765925266
30	0.1757014962
31	0.1748733782
32	0.1740567669
33	0.173280318
34	0.1726185601
35	0.1717385615
36	0.1709606825
37	0.1701965655
38	0.1693942036
39	0.1689652609
40	0.168211899
41	0.167614646
42	0.1669253124
43	0.1660833795
44	0.1656113092
45	0.1649889564
46	0.1644718854
47	0.1641008155
48	0.1635369494
49	0.1629218633
